"vps","partid","CheckVps","R","CheckHolt","SwitchAll","SwitchH","SwitchL","SwitchLH","SwitchLL","SwitchGH","SwitchGL","SwitchPH","SwitchPL","R_all","CheckGamb","swp","MPLr"
936,65053201,0,3,0,20.833333,28.333333,13.333333,10,5,50,25,25,10,0.375,0,8,2
937,65053301,0,4,0,0,0,0,0,0,0,0,0,0,0.82142857,0,7,3
939,65053401,0,5,0,13.333333,18.333333,8.3333333,15,5,15,15,25,5,0.53571429,0,6,4
940,65053501,0,7,0,4.5833333,5.8333333,3.3333333,-5,-5,0,0,22.5,15,0.73214286,3,4,6
942,65053601,0,4,0,6.25,7.5,5,2.5,5,0,10,20,0,0.69642857,3,7,3
943,65053701,0,3,0,22.5,31.666667,13.333333,15,5,45,20,35,15,0.33928571,0,8,2
944,65053801,0,3,0,10,15,5,10,5,15,5,20,5,0.60714286,0,8,2
946,65053901,0,4,0,7.5,6.6666667,8.3333333,15,5,-10,15,15,5,0.66071429,2,7,3
948,65054001,0,6,0,0.83333333,0,1.6666667,0,0,0,5,0,0,0.80357143,0,5,5
949,65054101,0,7,0,6.6666667,5,8.3333333,-10,0,15,15,10,10,0.67857143,0,4,6
951,65054201,0,4,0,12.5,18.333333,6.6666667,10,5,25,10,20,5,0.55357143,0,7,3
953,65054301,0,7,0,10.833333,16.666667,5,10,5,25,5,15,5,0.58928571,0,4,6
954,65054401,0,5,0,18.333333,25,11.666667,10,5,15,20,50,10,0.42857143,0,6,4
955,65054501,0,2,0,22.5,30,15,15,5,45,25,30,15,0.33928571,0,9,1
956,65054601,0,5,0,17.916667,27.5,8.3333333,17.5,5,45,15,20,5,0.44642857,3,6,4
958,65054701,0,6,0,8.3333333,11.666667,5,5,0,25,15,5,0,0.64285714,0,5,5
959,65054801,0,3,0,13.333333,16.666667,10,10,5,15,20,25,5,0.53571429,0,8,2
960,65054901,0,4,0,8.3333333,8.3333333,8.3333333,10,5,15,20,0,0,0.64285714,0,7,3
961,65055001,0,4,0,11.666667,15,8.3333333,10,5,20,15,15,5,0.57142857,0,7,3
962,65055101,0,6,0,13.333333,20,6.6666667,10,0,25,10,25,10,0.53571429,0,5,5
963,65055201,0,4,2,16.25,19.166667,13.333333,2.5,-5,35,30,20,15,0.53571429,3,1,9
964,65055401,0,4,0,28.333333,40,16.666667,20,5,70,30,30,15,0.21428571,0,7,3
965,65055501,0,6,0,8.3333333,13.333333,3.3333333,10,0,15,5,15,5,0.64285714,0,5,5
966,65055601,0,7,0,10.833333,15,6.6666667,10,0,15,10,20,10,0.58928571,0,4,6
967,65055701,0,5,0,16.666667,21.666667,11.666667,5,5,30,15,30,15,0.46428571,3,6,4
968,65055801,0,3,0,29.166667,36.666667,21.666667,20,10,60,40,30,15,0.14285714,3,8,2
969,65055901,0,5,0,10.833333,13.333333,8.3333333,15,5,5,10,20,10,0.58928571,0,6,4
971,65056101,0,4,0,11.666667,16.666667,6.6666667,10,0,5,5,35,15,0.57142857,0,7,3
973,65056201,0,3,0,13.333333,16.666667,10,10,5,15,15,25,10,0.53571429,0,8,2
974,65056301,0,5,2,9.5833333,14.166667,5,10,5,22.5,5,10,5,0.625,3,4,6
976,65056401,0,3,0,18.333333,23.333333,13.333333,10,5,30,20,30,15,0.39285714,3,8,2
977,65056501,0,4,0,15,20,10,10,5,30,15,20,10,0.5,0,7,3
978,65056601,0,5,0,11.666667,20,3.3333333,10,5,45,15,5,-10,0.55357143,0,6,4
979,65056701,0,3,0,11.666667,13.333333,10,15,5,15,20,10,5,0.57142857,0,8,2
981,65056801,0,5,0,13.333333,18.333333,8.3333333,5,0,30,15,20,10,0.53571429,0,6,4
983,65056901,0,5,2,12.916667,19.166667,6.6666667,7.5,0,25,15,25,5,0.55357143,3,1,9
