bibkey,paper,task,subject,age,gender,choice,r,country
Amador2021,Amador Hidalgo et al. 2021,HL,474,18,1,4,0.3966144365188666,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,476,18,0,7,1.172615806153044,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,477,24,0,8,1.536245719990693,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,478,18,1,5,0.6134023633459582,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,479,19,1,6,1.0232226317981257,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,480,20,1,10,2.71,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,481,18,0,4,0.5749056008202024,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,482,18,1,5,0.7709074426116421,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,483,18,0,0,-0.37,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,484,20,0,5,0.6710356583632529,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,485,18,1,7,1.3781802994804457,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,486,20,0,5,0.7758532200055197,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,487,18,0,5,0.6463002648064866,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,488,19,0,5,0.8425040257256478,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,489,26,0,6,0.891609364375472,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,491,18,1,2,-0.05876261515542863,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,492,18,1,6,0.8873532958095893,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,493,18,0,4,0.4880653255805373,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,494,20,1,4,0.35966567325405774,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,495,18,0,8,1.9178197427419945,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,497,18,0,6,1.1265559345250948,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,498,18,1,5,0.8185440293839201,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,500,19,1,4,0.43677062285365537,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,502,18,0,3,0.0419692632323131,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,503,19,1,1,-0.37,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,504,18,1,8,1.5601976522244514,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,505,26,0,2,-0.23794111588969827,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,506,18,0,7,1.1889862086903302,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,507,19,1,3,0.236983439528849,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,508,24,0,3,0.03245324305957183,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,510,18,0,6,1.102790956152603,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,511,18,0,4,0.34563890972873196,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,512,18,0,3,0.24288461269577968,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,513,19,1,4,0.5009955795761197,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,516,18,1,6,0.9168210322037339,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,517,22,1,6,1.1113157674204557,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,519,18,1,6,0.8808106842916459,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,522,18,1,10,2.71,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,523,21,0,4,0.4416966750798747,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,524,18,1,6,1.0346371101215481,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,525,18,1,5,0.6030476814089343,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,526,18,1,3,0.1589591433061287,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,527,23,0,5,0.6791403747582808,Spain
