bibkey,paper,task,subject,choice,r,city,tablet_id,age,gender,country,latitude,longitude
Dannenberg2022,Dannenberg et al. 2022,IG,140,571,0.7071491130426315,Guta,14,44,0,Tanzania,-2.075145935036385,33.74057028922266
Dannenberg2022,Dannenberg et al. 2022,IG,141,493,0.6212767167980159,Guta,15,23,0,Tanzania,-2.075145935036385,33.74057028922266
Dannenberg2022,Dannenberg et al. 2022,IG,142,505,0.6375286857174662,Guta,16,21,0,Tanzania,-2.075145935036385,33.74057028922266
Dannenberg2022,Dannenberg et al. 2022,IG,143,701,0.7921412972157489,Guta,17,23,0,Tanzania,-2.075145935036385,33.74057028922266
Dannenberg2022,Dannenberg et al. 2022,IG,144,202,2.473193888071562,Guta,18,24,0,Tanzania,-2.075145935036385,33.74057028922266
Dannenberg2022,Dannenberg et al. 2022,IG,145,487,0.6125884878572734,Shinembo,1,36,0,Tanzania,-2.5537,33.33597
Dannenberg2022,Dannenberg et al. 2022,IG,146,843,0.854114262765336,Shinembo,2,31,0,Tanzania,-2.5537,33.33597
Dannenberg2022,Dannenberg et al. 2022,IG,147,323,-0.13071009423430588,Shinembo,3,36,0,Tanzania,-2.5537,33.33597
Dannenberg2022,Dannenberg et al. 2022,IG,148,670,0.7755890504970996,Shinembo,4,32,0,Tanzania,-2.5537,33.33597
Dannenberg2022,Dannenberg et al. 2022,IG,149,172,1.8573897871164846,Shinembo,5,26,0,Tanzania,-2.5537,33.33597
Dannenberg2022,Dannenberg et al. 2022,IG,150,579,0.7139135843098277,Shinembo,6,38,0,Tanzania,-2.5537,33.33597
Dannenberg2022,Dannenberg et al. 2022,IG,151,300,-0.6133777550366369,Shinembo,7,22,0,Tanzania,-2.5537,33.33597
Dannenberg2022,Dannenberg et al. 2022,IG,152,248,38.910626228260554,Shinembo,8,42,0,Tanzania,-2.5537,33.33597
Dannenberg2022,Dannenberg et al. 2022,IG,153,338,0.04908039849001951,Shinembo,9,36,0,Tanzania,-2.5537,33.33597
Dannenberg2022,Dannenberg et al. 2022,IG,154,267,-3.570410725661412,Shinembo,10,23,0,Tanzania,-2.5537,33.33597
Dannenberg2022,Dannenberg et al. 2022,IG,155,805,0.8388744853788245,Shinembo,11,34,0,Tanzania,-2.5537,33.33597
Dannenberg2022,Dannenberg et al. 2022,IG,156,389,0.3734068213599232,Shinembo,12,24,0,Tanzania,-2.5537,33.33597
Dannenberg2022,Dannenberg et al. 2022,IG,157,606,0.7348413186169807,Shinembo,13,45,0,Tanzania,-2.5537,33.33597
Dannenberg2022,Dannenberg et al. 2022,IG,158,692,0.7875030474950827,Shinembo,14,28,0,Tanzania,-2.5537,33.33597
Dannenberg2022,Dannenberg et al. 2022,IG,159,508,0.6413765065704814,Shinembo,15,31,0,Tanzania,-2.5537,33.33597
Dannenberg2022,Dannenberg et al. 2022,IG,160,329,-0.05069748612029006,Shinembo,16,35,0,Tanzania,-2.5537,33.33597
Dannenberg2022,Dannenberg et al. 2022,IG,161,371,0.28950916548518224,Shinembo,17,48,0,Tanzania,-2.5537,33.33597
Dannenberg2022,Dannenberg et al. 2022,IG,162,585,0.7188069343933116,Shinembo,18,22,0,Tanzania,-2.5537,33.33597
Dannenberg2022,Dannenberg et al. 2022,IG,163,546,0.684004096894798,Chabula,1,33,0,Tanzania,-2.47532,33.15021
Dannenberg2022,Dannenberg et al. 2022,IG,164,695,0.7890633121259109,Chabula,2,22,0,Tanzania,-2.47532,33.15021
Dannenberg2022,Dannenberg et al. 2022,IG,165,739,0.810476282688891,Chabula,3,54,0,Tanzania,-2.47532,33.15021
Dannenberg2022,Dannenberg et al. 2022,IG,166,0,-1,Chabula,4,24,0,Tanzania,-2.47532,33.15021
Dannenberg2022,Dannenberg et al. 2022,IG,167,1000,1,Chabula,5,25,0,Tanzania,-2.47532,33.15021
Dannenberg2022,Dannenberg et al. 2022,IG,168,410,0.448081654221254,Chabula,6,27,0,Tanzania,-2.47532,33.15021
Dannenberg2022,Dannenberg et al. 2022,IG,169,481,0.6034864531008015,Chabula,7,30,0,Tanzania,-2.47532,33.15021
Dannenberg2022,Dannenberg et al. 2022,IG,170,814,0.8425271800475647,Chabula,8,30,0,Tanzania,-2.47532,33.15021
Dannenberg2022,Dannenberg et al. 2022,IG,171,508,0.6413765065704814,Chabula,9,25,0,Tanzania,-2.47532,33.15021
Dannenberg2022,Dannenberg et al. 2022,IG,172,600,0.7304227103091845,Chabula,10,40,0,Tanzania,-2.47532,33.15021
Dannenberg2022,Dannenberg et al. 2022,IG,173,300,-0.6133777550366369,Chabula,11,25,0,Tanzania,-2.47532,33.15021
Dannenberg2022,Dannenberg et al. 2022,IG,174,1000,1,Chabula,12,30,0,Tanzania,-2.47532,33.15021
Dannenberg2022,Dannenberg et al. 2022,IG,175,478,0.5987700478801405,Chabula,13,37,0,Tanzania,-2.47532,33.15021
Dannenberg2022,Dannenberg et al. 2022,IG,176,445,0.5380465058768245,Chabula,14,39,0,Tanzania,-2.47532,33.15021
Dannenberg2022,Dannenberg et al. 2022,IG,177,300,-0.6133777550366369,Chabula,15,24,0,Tanzania,-2.47532,33.15021
Dannenberg2022,Dannenberg et al. 2022,IG,178,540,0.6779351701714538,Chabula,16,27,0,Tanzania,-2.47532,33.15021
Dannenberg2022,Dannenberg et al. 2022,IG,179,505,0.6375286857174662,Chabula,17,26,0,Tanzania,-2.47532,33.15021
