"partid","duration","raw","percentile","t","z","iq","stanine","sten","c11"
65052101,18,8.27,27,44,94,91,4,4,4
65052201,17,11.38,3,31,81,72,1,2,0
65052301,17,8.84,19,41,91,87,3,4,3
65052401,15,8.54,22,42,92,88,3,4,3
65052501,18,8.1,30,45,95,93,4,5,4
65052601,17,9.85,9,37,87,81,2,3,2
65052701,14,9.15,16,40,90,85,3,4,3
65052801,15,6.01,79,58,108,112,7,7,7
65052901,14,4.99,93,65,115,123,8,9,9
65053001,16,8.76,20,42,92,88,3,4,3
65053101,18,8.39,25,43,93,90,4,4,3
65053201,17,7.29,49,50,100,100,5,6,5
65053301,16,11.15,3,31,81,72,1,2,0
65053401,17,6.93,58,52,102,103,5,6,6
65053501,17,9.28,14,39,89,84,3,3,2
65053601,15,8.09,31,45,95,93,4,5,4
65053701,16,7.25,50,50,100,100,5,6,5
65053801,18,8.14,30,45,95,93,4,5,4
65053901,16,8.74,20,42,92,88,3,4,3
65054001,17,9.58,12,38,88,82,3,3,2
65054101,17,6.8,62,53,103,105,6,6,6
65054201,15,8.3,26,44,94,91,4,4,4
65054301,19,8.78,19,41,91,87,3,4,3
65054401,20,6.89,59,52,102,103,5,6,6
65054501,19,7.72,39,47,97,96,4,5,4
