"partid","CCTncards","CCTacards","CCTratio","CCTaratio","CCTpayoff"
68037901,258,175,0.13633392,0.12561087,40.714286
68038001,422,232,0.20466431,0.24707166,46.428571
68038101,648,202,0.28337254,0.31091803,64.464286
68038201,254,126,0.13922122,0.11698752,34.22619
68038301,360,232,0.16340504,0.19675281,-13.035714
68038401,302,179,0.13301706,0.12889514,-2.7380952
68038501,601,0,0.27686652,NA,-50.714286
68038601,427,159,0.1994017,0.21487907,37.738095
68038701,450,182,0.21617313,0.2121802,86.309524
68038801,564,273,0.26053071,0.37574612,43.809524
68038901,524,274,0.22112818,0.28425996,18.511905
68039001,145,1,0.067118352,0.001059322,67.857143
68039101,660,151,0.27766788,0.18347631,33.928571
68039201,388,253,0.16016393,0.15371298,67.97619
68039301,433,233,0.21872562,0.33578372,38.869048
68039401,354,164,0.17998283,0.19135876,57.440476
68039501,466,215,0.21870127,0.29785928,13.095238
68039601,535,311,0.24802475,0.37278417,42.321429
68039701,615,198,0.27892609,0.38836467,35.357143
68039801,468,256,0.20536226,0.29371903,-33.869048
68039901,552,227,0.25098371,0.34509184,15.178571
68040001,353,223,0.17330734,0.22198691,-29.345238
68040301,549,286,0.25000376,0.35412273,31.369048
68040501,526,215,0.24268961,0.31157304,105.2381
68040601,355,183,0.15635198,0.1419811,-28.869048
68040701,502,156,0.23273444,0.36532542,-17.678571
68040801,472,281,0.21238069,0.27992717,22.083333
68040901,435,323,0.19838255,0.2691031,47.083333
68041001,432,210,0.2043176,0.25636142,18.214286
68041301,428,152,0.1886609,0.14517496,72.261905
68041501,228,130,0.13199686,0.12827681,-4.4642857
68041601,410,262,0.19402147,0.23054884,23.809524
68041701,632,217,0.27180538,0.27376572,115.41667
68041801,485,254,0.20867791,0.24327852,24.702381
68041901,430,238,0.20773362,0.25402712,56.369048
68042001,612,111,0.27490053,0.37930613,-22.97619
68042101,309,201,0.14865054,0.15712649,32.559524
68042201,715,171,0.31850026,0.56027994,16.428571
68042301,363,216,0.17545951,0.21773146,-3.452381
