"partid","MTr","MTr.1","MTr.2","MTr.3","dif.perc.bound","dif.amb.fx.bound","dif.risk.fx.bound","dif.amb.fx.bias","dif.risk.fx.bias"
64173401,0.728855721393035,0.723880597014925,0.727611940298508,0.735074626865671,0.11555,0.0030427,0.045704,0.051897,0.051897
64173601,0.713930348258706,0.67910447761194,0.723880597014925,0.738805970149254,0.11251,0.11876,-0.031202,0.14029,0.14029
64174501,0.753731343283582,0.761194029850746,0.75,0.75,0.11954,-0.0012289,-0.062782,0.16523,0.16523
64174801,0.732587064676617,0.708955223880597,0.761194029850746,0.727611940298508,0.24712,-0.015785,-0.078945,0.16063,0.16063
64174901,0.732587064676617,0.705223880597015,0.772388059701492,0.720149253731344,0.1824,0.070988,-0.014789,-0.052702,-0.052702
64175001,0.75,0.757462686567164,0.753731343283582,0.738805970149254,0.24484,-0.10977,-0.020291,0.20962,0.20962
64175101,0.742537313432836,0.708955223880597,0.746268656716418,0.772388059701492,0.10281,0.011848,0.034968,-0.04928,-0.04928
64176001,0.75497512437811,0.735074626865671,0.757462686567164,0.772388059701492,0.23029,-0.043263,-0.02542,-0.13473,-0.13473
64176201,0.699004975124378,0.682835820895523,0.708955223880597,0.705223880597015,0.16038,-0.034715,-0.037353,0.13711,0.13711
64176401,0.74502487562189,0.753731343283582,0.742537313432836,0.738805970149254,0.30733,-0.030634,-0.074781,0.078447,0.078447
64176501,0.764925373134329,0.783582089552239,0.742537313432836,0.768656716417911,0.41706,-0.047155,-0.13682,0.029195,0.029195
64176601,0.664179104477612,0.645522388059702,0.686567164179104,0.66044776119403,0.25718,-0.09837,0.015656,-0.15122,-0.15122
64176801,0.781094527363184,0.764925373134329,0.779850746268657,0.798507462686567,0.1563,0.014678,-0.033732,-0.018699,-0.018699
64177901,0.757462686567164,0.761194029850746,0.757462686567164,0.753731343283582,0.43218,-0.21364,0.025896,-0.14358,-0.14358
64178801,0.716417910447761,0.712686567164179,0.701492537313433,0.735074626865671,0.10584,-0.010318,0.06961,0.10416,0.10416
64179101,0.706467661691543,0.690298507462687,0.731343283582089,0.697761194029851,0.46005,-0.22388,-0.09166,0.1143,0.1143
64179301,0.650497512437811,0.682835820895523,0.638059701492538,0.630597014925373,0.092893,-0.012564,0.0056317,0.016553,0.016553
64179701,0.703980099502488,0.757462686567164,0.652985074626866,0.701492537313433,0.1578,0.0090355,0.015203,0.24086,0.24086
64180001,0.737562189054726,0.75,0.720149253731344,0.742537313432836,0.19354,0.042299,-0.016032,0.14108,0.14108
64180601,0.762437810945274,0.75,0.753731343283582,0.783582089552239,0.11322,0.077115,-0.051428,0.20718,0.20718
64181101,0.710199004975125,0.746268656716418,0.690298507462687,0.694029850746269,0.14045,0.011129,-0.036182,0.0045704,0.0045704
64181301,0.751243781094527,0.742537313432836,0.735074626865671,0.776119402985074,0.18631,-0.019095,-0.015799,-0.15355,-0.15355
64181801,0.752487562189055,0.746268656716418,0.735074626865671,0.776119402985074,0.16361,0.0065383,-0.041945,0.21149,0.21149
64181901,0.743781094527363,0.75,0.772388059701492,0.708955223880597,0.24189,0.059418,0.15842,0.0028436,0.0028436
64182001,0.747512437810945,0.712686567164179,0.75,0.779850746268657,0.10667,-0.010338,-0.0010444,0.12865,0.12865
64182201,0.72636815920398,0.735074626865671,0.723880597014925,0.720149253731344,0.13284,0.011965,-0.018415,0.011646,0.011646
64182301,0.720149253731344,0.742537313432836,0.69776119402985,0.720149253731344,0.24223,-0.080227,0.067801,-0.12415,-0.12415
64182501,0.711442786069652,0.697761194029851,0.708955223880597,0.727611940298508,0.12961,0.023753,0.10623,-0.13947,-0.13947
