"","num_mem","P1_proj1","P1_proj2","P1_proj3","ins_g","mor_g","h_l","g_p","ta_1","ta_2","do_1","do_2","e_g","age","income","male","realestate","insurance","self_emp","mulSwitch_hl","deductible","inv_ris","valsavings"
"707",863406,50,40,10,5,1,NA,NA,NA,NA,6,5,NA,49,NA,0,0,0,0,NA,NA,NA,NA
"708",863412,20,70,10,3,2,NA,NA,NA,NA,4,5,NA,73,NA,0,0,0,0,NA,0,90,7.444
"709",863430,40,0,60,1,1,NA,NA,NA,NA,NA,NA,2,41,1.973,1,NA,NA,0,NA,0,0,NA
"710",863717,20,60,20,5,1,NA,NA,NA,NA,6,4,NA,58,0.75,1,0,0,0,NA,0,NA,0.995
"711",863790,25,35,40,1,2,NA,NA,NA,NA,4,4,NA,55,1.85,1,0,0,0,NA,0,NA,NA
"712",863836,40,40,20,4,1,5,NA,NA,NA,NA,NA,NA,38,1.3,0,0,0,0,FALSE,0,10,15
"713",864047,0,100,0,2,3,NA,NA,NA,NA,NA,NA,1,20,1.024,1,NA,NA,0,NA,1,NA,NA
"714",864276,100,0,0,3,1,NA,NA,NA,NA,0,0,NA,69,1.3,0,0,0,0,NA,0,NA,NA
"715",864395,25,25,50,5,2,NA,NA,15,15,NA,NA,NA,70,1.227,0,NA,NA,0,NA,0,0,NA
"716",864636,0,75,25,2,2,NA,NA,12,1,NA,NA,NA,77,3.1,1,NA,NA,0,NA,0,10,NA
"717",864639,40,40,20,1,1,NA,300,NA,NA,NA,NA,NA,19,0,0,0,0,0,NA,1,NA,0
"718",864645,30,30,40,3,2,NA,NA,3,6,NA,NA,NA,70,1.75,0,0,0,0,NA,0,NA,2.35
"719",864727,0,100,0,1,1,7,NA,NA,NA,NA,NA,NA,22,0.113,1,0,0,0,FALSE,NA,1,7.6
"720",864904,0,80,20,3,2,NA,NA,NA,NA,4,3,NA,51,0.25,0,NA,NA,0,NA,1,5,NA
"721",865011,70,10,20,3,2,9,NA,NA,NA,NA,NA,NA,18,0.65,1,0,0,0,TRUE,0,NA,0.12
"722",865039,100,0,0,1,1,5,NA,NA,NA,NA,NA,NA,42,1.488,0,NA,NA,0,FALSE,1,0,NA
"723",865093,0,0,100,1,1,NA,NA,13,12,NA,NA,NA,42,1.8,1,0,0,0,NA,0,20,18
"724",865182,100,0,0,5,3,NA,NA,NA,NA,7,7,NA,67,1.476,0,0,0,0,NA,1,NA,12.578
"725",865267,30,40,30,5,2,NA,NA,NA,NA,7,8,NA,44,0.871,0,NA,NA,0,NA,0,0,NA
"726",865365,40,40,20,5,1,NA,500,NA,NA,NA,NA,NA,68,NA,1,0,0,1,NA,1,NA,80
"727",865417,40,30,30,1,3,7,NA,NA,NA,NA,NA,NA,35,1.96,0,NA,NA,0,FALSE,0,0,NA
"728",865423,100,0,0,1,2,NA,NA,NA,NA,NA,NA,1,60,0.65,1,NA,NA,0,NA,0,NA,NA
"729",865487,50,30,20,1,2,7,NA,NA,NA,NA,NA,NA,63,0.408,0,0,0,0,TRUE,0,NA,0
"730",865704,20,60,20,2,2,7,NA,NA,NA,NA,NA,NA,59,1.4,1,0,0,0,FALSE,1,20,NA
"731",865747,100,0,0,5,1,NA,400,NA,NA,NA,NA,NA,64,0,0,0,0,0,NA,0,NA,0
"732",865774,20,60,20,3,2,NA,800,NA,NA,NA,NA,NA,51,1.3,0,NA,NA,0,NA,0,0,NA
"733",865954,35,35,30,1,2,NA,NA,NA,NA,5,2,NA,71,3,1,0,0,0,NA,0,0,171.516
"734",866128,100,0,0,5,1,NA,NA,3,2,NA,NA,NA,65,1.579,1,0,1,0,NA,0,0,31.7
"735",866445,50,30,20,3,3,NA,NA,NA,NA,1,1,NA,81,0.685,0,0,0,0,NA,NA,NA,22
"736",866543,75,25,0,1,1,NA,NA,NA,NA,6,3,NA,41,1.6,1,0,0,0,NA,0,NA,2.031
"737",866610,0,100,0,1,1,NA,100,NA,NA,NA,NA,NA,31,1.6,0,NA,NA,0,NA,0,0,NA
"738",866912,60,30,10,3,1,NA,500,NA,NA,NA,NA,NA,66,1.9,1,NA,NA,0,NA,1,0,NA
"739",867041,40,40,20,5,3,NA,400,NA,NA,NA,NA,NA,73,0.63,0,1,0,0,NA,0,NA,NA
"740",867193,100,0,0,2,1,NA,250,NA,NA,NA,NA,NA,48,NA,0,0,0,0,NA,0,NA,NA
"741",867199,25,35,40,2,1,NA,NA,3,7,NA,NA,NA,24,1.3,1,NA,NA,0,NA,1,0,NA
"742",867202,75,0,25,5,1,NA,400,NA,NA,NA,NA,NA,63,1.6,0,0,0,0,NA,1,NA,0
"743",867211,30,40,30,2,3,5,NA,NA,NA,NA,NA,NA,65,1.5,1,1,0,0,FALSE,0,NA,60
"744",867285,40,30,30,2,3,NA,NA,NA,NA,7,6,NA,65,1.2,1,NA,NA,0,NA,0,NA,NA
"745",867300,50,10,40,2,3,NA,800,NA,NA,NA,NA,NA,34,0.656,0,NA,NA,1,NA,1,NA,NA
"746",867312,25,25,50,1,1,7,NA,NA,NA,NA,NA,NA,63,0.05,0,0,0,0,TRUE,0,NA,NA
"747",867330,50,45,5,2,2,8,NA,NA,NA,NA,NA,NA,60,1.218,0,0,0,0,FALSE,0,0,0.848
