bibkey,paper,task,subject,age,gender,choice,r
Fairley2019,Fairley and Parelman 2019,BART,137,22,0,23.538,3.6425255338904368
Fairley2019,Fairley and Parelman 2019,BERP,137,22,0,15.369,1.050440844781628
Fairley2019,Fairley and Parelman 2019,BART,138,19,1,23.917,0.7950337399860388
Fairley2019,Fairley and Parelman 2019,BERP,138,19,1,29.43,1.1978021978021978
Fairley2019,Fairley and Parelman 2019,BART,139,20,1,37.375,0.5968063872255489
Fairley2019,Fairley and Parelman 2019,BERP,139,20,1,51.75,1.072538860103627
Fairley2019,Fairley and Parelman 2019,BART,140,21,1,27.5,0.7534246575342466
Fairley2019,Fairley and Parelman 2019,BERP,140,21,1,28.928,0.8248175182481752
Fairley2019,Fairley and Parelman 2019,BART,141,23,1,21.444,8.389671361502344
Fairley2019,Fairley and Parelman 2019,BERP,141,23,1,11.208,0.876172607879925
Fairley2019,Fairley and Parelman 2019,BART,142,20,1,38.125,1.196078431372549
Fairley2019,Fairley and Parelman 2019,BERP,142,20,1,35.755,1.044094028325303
Fairley2019,Fairley and Parelman 2019,BART,143,21,1,25.429,1.0349192137072156
Fairley2019,Fairley and Parelman 2019,BERP,143,21,1,25.537,1.0439030372399132
Fairley2019,Fairley and Parelman 2019,BART,144,20,NA,12.818,0.23228589032655575
Fairley2019,Fairley and Parelman 2019,BERP,144,20,NA,18.666,0.3783597518952446
Fairley2019,Fairley and Parelman 2019,BART,145,20,0,30.818,0.4454626926079038
Fairley2019,Fairley and Parelman 2019,BERP,145,20,0,49.694,0.987834453146742
Fairley2019,Fairley and Parelman 2019,BART,146,22,0,46.429,5.416987516042471
Fairley2019,Fairley and Parelman 2019,BERP,146,22,0,35.532,1.8251489623998352
Fairley2019,Fairley and Parelman 2019,BART,147,21,0,21,0.42857142857142855
Fairley2019,Fairley and Parelman 2019,BERP,147,21,0,30.779,0.784758165268606
Fairley2019,Fairley and Parelman 2019,BART,148,19,1,21.667,0.5118229277395886
Fairley2019,Fairley and Parelman 2019,BERP,148,19,1,32.17,1.0106817467797675
Fairley2019,Fairley and Parelman 2019,BART,149,20,1,18.571,0.7026750917552689
Fairley2019,Fairley and Parelman 2019,BERP,149,20,1,23.677,1.110397223655208
Fairley2019,Fairley and Parelman 2019,BART,150,20,1,27.222,0.7401707542552614
Fairley2019,Fairley and Parelman 2019,BERP,150,20,1,31.968,0.9980019980019981
Fairley2019,Fairley and Parelman 2019,BART,151,18,0,36.375,1.3167420814479638
Fairley2019,Fairley and Parelman 2019,BERP,151,18,0,32.16,1.0100502512562812
Fairley2019,Fairley and Parelman 2019,BART,152,19,1,32.556,1.1862702229995625
Fairley2019,Fairley and Parelman 2019,BERP,152,19,1,33.14,1.2338049143708116
Fairley2019,Fairley and Parelman 2019,BART,153,23,0,20,0.3333333333333333
Fairley2019,Fairley and Parelman 2019,BERP,153,23,0,29.592,0.5870496746548166
Fairley2019,Fairley and Parelman 2019,BART,154,20,0,21.417,0.5550890288469016
Fairley2019,Fairley and Parelman 2019,BERP,154,20,0,34.68,1.3696682464454977
Fairley2019,Fairley and Parelman 2019,BART,155,19,0,18.5,0.3592233009708738
Fairley2019,Fairley and Parelman 2019,BERP,155,19,0,34.515,0.9726645061293505
Fairley2019,Fairley and Parelman 2019,BART,156,18,1,32,0.8888888888888888
Fairley2019,Fairley and Parelman 2019,BERP,156,18,1,42.874,1.7063599458728014
Fairley2019,Fairley and Parelman 2019,BART,157,23,0,30,0.75
Fairley2019,Fairley and Parelman 2019,BERP,157,23,0,36.409,1.0838915185615194
Fairley2019,Fairley and Parelman 2019,BART,158,21,1,34.75,1.1487603305785123
Fairley2019,Fairley and Parelman 2019,BERP,158,21,1,33.952,1.0935325946920895
Fairley2019,Fairley and Parelman 2019,BART,159,25,0,25.7,0.6710182767624021
Fairley2019,Fairley and Parelman 2019,BERP,159,25,0,42.416,1.9651593773165303
Fairley2019,Fairley and Parelman 2019,BART,160,20,1,21.833,0.5720386721513349
Fairley2019,Fairley and Parelman 2019,BERP,160,20,1,30.668,1.0455475248874948
Fairley2019,Fairley and Parelman 2019,BART,161,19,0,31.9,1.1352313167259784
Fairley2019,Fairley and Parelman 2019,BERP,161,19,0,29.1,0.9417475728155341
Fairley2019,Fairley and Parelman 2019,BART,162,18,1,26.333,1.1126463007563272
Fairley2019,Fairley and Parelman 2019,BERP,162,18,1,15.51,0.44969556393157434
Fairley2019,Fairley and Parelman 2019,BART,163,29,0,23.385,0.3052274358807023
Fairley2019,Fairley and Parelman 2019,BERP,163,29,0,41.75,0.7167381974248928
