bibkey,paper,task,subject,age,gender,choice,r,country,city
Csermely2016,Csermely and Rabas 2016,EG,46,28,1,5,0.6227031093696132,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,47,23,0,2,-0.046068776566535186,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,48,33,1,5,0.6110431881342083,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,49,21,1,1,-0.37,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,50,25,0,5,0.8411118690669537,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,51,22,0,4,0.4893712950358167,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,52,26,0,8,1.7937395342858509,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,53,26,1,4,0.4279474100493826,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,54,21,0,5,0.6201691751740872,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,55,28,0,4,0.4289168817573227,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,56,24,0,4,0.3749023957666941,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,57,26,0,2,-0.0852677453123033,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,58,24,1,1,-0.37,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,59,24,1,6,1.1281122119864448,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,60,23,1,6,0.9854006061330437,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,61,24,1,3,0.2464371760725044,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,62,26,0,8,1.5333415113855153,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,63,19,0,4,0.5183962865918874,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,64,22,0,5,0.6346892864163964,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,65,25,1,9,1.95,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,66,40,0,6,0.8513043460203334,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,67,27,1,6,0.9013463868759573,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,68,27,1,5,0.6498593965545296,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,69,23,1,3,0.13673238455085085,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,70,21,0,4,0.4769106333935633,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,71,25,1,4,0.3206954479101114,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,72,26,1,8,1.6312769106402993,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,73,25,1,4,0.5603413497656584,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,74,27,0,6,1.0693971722852438,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,75,23,0,1,-0.37,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,76,22,0,3,0.2746756992395968,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,77,28,0,2,-0.0024153812602162317,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,78,24,1,1,-0.37,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,79,34,0,1,-0.37,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,80,21,1,5,0.6555045537278056,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,81,25,0,1,-0.37,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,82,22,0,9,1.95,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,83,33,0,9,1.95,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,84,33,0,4,0.5615433848369866,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,85,29,0,4,0.5678388978634029,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,86,26,0,5,0.7203624645527452,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,87,24,1,7,1.2600565025862305,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,88,26,1,3,0.3138674138486386,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,89,32,0,6,1.1397052138112485,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,EG,90,19,1,5,0.6322649063402787,Austria,Vienna
