bg.village,unique.id,age,female,education,sufficient.money,a1,a2,a3,a4,a5,consistency,RA,T.R,T.B,T.H,risktime,enumerator.code,RA.all
Dorayi,10604,46,MALE,SS 3,YES,0,0,0,0,0,1,0,0,1,0,124,106,0
Ja'en,13006,50,MALE,Primary six,NO,1,1,1,1,0,1,4,0,1,0,15,130,4
Dorayi,10403,33,FEMALE,SS 3,YES,1,1,1,0,0,1,3,0,0,1,16,104,3
Ja'en,12902,25,FEMALE,No Education,YES,1,1,1,0,0,1,3,0,1,0,120,129,3
Gidan Maharba,14008,29,FEMALE,SS 3,YES,1,1,1,1,1,1,5,1,0,0,161,140,5
Dorayi,11701,50,MALE,No Education,YES,1,1,1,0,0,1,3,0,1,0,65,117,3
Dorayi,11204,45,MALE,No Education,YES,1,1,1,1,0,1,4,0,0,1,21,112,4
Dorayi,10201,39,FEMALE,SS 3,YES,0,0,0,0,0,1,0,0,1,0,8,102,0
Dorayi,11406,35,FEMALE,Primary six,YES,1,1,1,1,0,1,4,0,1,0,18,114,4
Ja'en,13003,40,MALE,No Education,YES,1,1,1,1,0,1,4,0,0,1,9,130,4
Ja'en,12908,30,FEMALE,No Education,YES,1,1,1,1,1,1,5,1,0,0,116,129,5
Ja'en,12506,43,MALE,No Education,YES,1,0,0,0,0,1,1,0,1,0,14,125,1
Ja'en,12407,38,MALE,Post-secondary: complete,YES,1,1,1,1,0,1,4,1,0,0,10,124,4
Dorayi,11603,43,FEMALE,SS 3,YES,0,0,0,0,0,1,0,0,1,0,78,116,0
Gidan Maharba,14306,45,FEMALE,No Education,YES,0,0,0,0,0,1,0,1,0,0,13,143,0
Dorayi,11505,35,FEMALE,SS 3,YES,1,1,1,1,1,1,5,0,1,0,9,115,5
Gidan Maharba,14204,35,MALE,SS 3,YES,1,1,1,0,0,1,3,1,0,0,11,142,3
Ja'en,12005,45,MALE,SS 3,NO,1,1,1,0,0,1,3,1,0,0,14,120,3
Dorayi,11004,50,MALE,SS 3,YES,1,1,1,0,0,1,3,1,0,0,15,110,3
Ja'en,12401,35,MALE,SS 3,YES,1,1,1,1,1,1,5,0,0,1,149,124,5
Gidan Maharba,13908,33,MALE,No Education,NO,0,0,0,0,0,1,0,0,0,1,131,139,0
Ja'en,13108,32,FEMALE,Primary six,YES,1,1,1,1,1,1,5,1,0,0,11,131,5
Gidan Maharba,13802,34,MALE,Post-secondary: complete,YES,1,1,1,1,1,1,5,0,0,1,48,138,5
Dorayi,10906,37,FEMALE,JSS 3,YES,0,0,0,1,1,0,,0,1,0,33,109,2
Dorayi,11703,56,MALE,No Education,YES,1,1,1,0,0,1,3,1,0,0,13,117,3
Ja'en,12505,43,MALE,SS 3,YES,1,0,0,0,0,1,1,0,1,0,14,125,1
Ja'en,12201,28,FEMALE,SS 1,YES,1,1,1,1,0,1,4,0,0,1,12,122,4
Ja'en,12306,32,FEMALE,SS 3,YES,1,0,0,0,0,1,1,0,0,1,11,123,1
Dorayi,10503,38,FEMALE,SS 3,YES,1,1,1,1,1,1,5,0,1,0,39,105,5
Dorayi,11005,40,FEMALE,No Education,NO,1,1,1,1,1,1,5,1,0,0,13,110,5
Gidan Maharba,14401,25,MALE,Post-secondary: complete,YES,1,1,1,1,1,1,5,1,0,0,19,144,5
Gidan Maharba,14407,39,FEMALE,Postgraduate,YES,1,1,1,1,1,1,5,1,0,0,10,144,5
Ja'en,12107,41,MALE,Postgraduate,NO,1,1,1,1,0,1,4,0,0,1,12,121,4
Gidan Maharba,13708,30,FEMALE,SS 3,YES,0,0,0,0,0,1,0,0,0,1,62,137,0
Dorayi,11806,23,FEMALE,No Education,NO,0,0,0,0,0,1,0,0,0,1,92,118,0
Ja'en,13403,49,MALE,SS 3,YES,1,1,1,1,1,1,5,0,0,1,11,134,5
Dorayi,11705,56,MALE,No Education,YES,1,0,0,0,0,1,1,1,0,0,10,117,1
Ja'en,13206,31,FEMALE,Post-secondary: incomplete,YES,1,1,1,0,0,1,3,0,1,0,16,132,3
Dorayi,11805,33,FEMALE,SS 3,YES,1,0,0,0,0,1,1,1,0,0,94,118,1
Dorayi,10108,34,FEMALE,JSS 3,YES,1,1,0,0,0,1,2,1,0,0,10,101,2
Gidan Maharba,14202,53,MALE,Post-secondary: complete,YES,1,1,0,0,0,1,2,0,1,0,155,142,2
Dorayi,11408,32,FEMALE,JSS 3,YES,1,1,0,0,1,0,,1,0,0,94,114,3
Dorayi,11303,40,MALE,No Education,NO,1,1,1,1,0,1,4,1,0,0,10,113,4
Gidan Maharba,14206,32,MALE,SS 3,YES,1,1,0,0,0,1,2,0,0,1,24,142,2
Ja'en,12907,67,FEMALE,No Education,NO,1,1,1,0,0,1,3,0,1,0,15,129,3
Ja'en,11901,40,MALE,Post-secondary: incomplete,YES,1,1,1,1,1,1,5,0,1,0,10,119,5
Dorayi,11307,36,MALE,SS 3,YES,1,0,0,0,0,1,1,0,1,0,120,113,1
Dorayi,10706,34,MALE,Post-secondary: complete,YES,1,0,0,0,0,1,1,0,0,1,145,107,1
Dorayi,10303,40,FEMALE,Pre-Primary/Kindergarten/Nursery,NO,1,1,1,1,1,1,5,0,0,1,78,103,5
Dorayi,11507,60,MALE,SS 3,YES,0,1,0,1,1,0,,1,0,0,9,115,3
Ja'en,12503,35,FEMALE,JSS 3,YES,1,1,1,0,0,1,3,0,1,0,18,125,3
Dorayi,11103,45,MALE,SS 3,NO,1,1,0,0,0,1,2,0,0,1,10,111,2
Dorayi,10603,45,MALE,Post-secondary: complete,YES,1,1,1,1,1,1,5,0,1,0,45,106,5
Ja'en,13603,37,MALE,No Education,NO,1,0,0,0,0,1,1,0,1,0,17,136,1
Dorayi,11102,40,MALE,SS 3,NO,1,1,0,0,0,1,2,0,1,0,10,111,2
Ja'en,13201,25,FEMALE,SS 3,YES,1,1,1,0,0,1,3,0,1,0,47,132,3
Dorayi,10805,53,MALE,Primary: One,YES,1,1,1,1,1,1,5,0,1,0,7,108,5
Dorayi,11503,35,MALE,No Education,YES,0,0,0,0,0,1,0,1,0,0,118,115,0
Dorayi,10506,30,FEMALE,Post-secondary: incomplete,YES,1,1,1,1,1,1,5,0,0,1,92,105,5
Gidan Maharba,13808,39,MALE,Post-secondary: complete,YES,1,1,0,0,0,1,2,1,0,0,94,138,2
Dorayi,10202,40,MALE,SS 3,YES,0,0,0,0,0,1,0,1,0,0,6,102,0
Ja'en,12103,37,MALE,Postgraduate,NO,1,1,1,0,0,1,3,0,1,0,11,121,3
Gidan Maharba,13902,38,MALE,JSS 3,YES,1,1,0,0,0,1,2,1,0,0,138,139,2
Ja'en,12808,31,FEMALE,JSS 3,NO,1,1,0,0,0,1,2,1,0,0,119,128,2
Ja'en,12906,61,MALE,Postgraduate,YES,1,1,1,0,0,1,3,1,0,0,62,129,3
Gidan Maharba,14004,51,MALE,Post-secondary: complete,YES,1,1,1,1,1,1,5,0,1,0,183,140,5
Ja'en,12706,50,FEMALE,No Education,YES,1,0,0,0,0,1,1,0,0,1,30,127,1
Dorayi,10505,43,FEMALE,Primary six,YES,1,1,1,1,1,1,5,1,0,0,86,105,5
Dorayi,10707,46,MALE,Primary six,YES,1,0,0,0,0,1,1,1,0,0,56,107,1
Ja'en,13004,35,MALE,SS 3,YES,1,1,1,1,0,1,4,0,0,1,19,130,4
Ja'en,12008,51,MALE,SS 3,NO,1,1,0,0,0,1,2,0,1,0,16,120,2
Ja'en,12105,44,MALE,Postgraduate,YES,1,1,1,1,0,1,4,0,0,1,43,121,4
Dorayi,10902,37,MALE,JSS 3,YES,0,0,1,1,1,0,,1,0,0,146,109,3
Dorayi,10404,40,MALE,Post-secondary: incomplete,YES,1,1,1,0,0,1,3,0,0,1,14,104,3
Ja'en,12704,45,MALE,SS 3,YES,1,0,0,0,0,1,1,1,0,0,81,127,1
Dorayi,11008,31,FEMALE,JSS 2,YES,1,1,1,1,1,1,5,0,0,1,11,110,5
Dorayi,10301,39,FEMALE,No Education,YES,1,1,1,1,1,1,5,0,0,1,249,103,5
Ja'en,12104,40,MALE,Postgraduate,YES,1,1,1,0,0,1,3,1,0,0,12,121,3
Ja'en,12108,59,MALE,SS 3,YES,1,1,1,0,0,1,3,1,0,0,12,121,3
