enumerator_code,id,education,male,T_R,T_B,T_H,a1,a2,a3,a4,a5,RA,risktime,consistency,RA_all,age,sufficient_money,gamma,pay,school_code
12,400,7,0,1,0,0,1,0,1,0,0,,5.1929569,0,2,48,1,.82999998,2,2
4,401,13,0,1,0,0,1,1,0,0,0,2,5.0814042,1,2,32,1,1,2,8
3,402,11,0,0,0,1,0,0,0,0,0,0,4.5643482,1,0,29,1,1,0,8
9,403,7,0,0,0,1,0,1,1,0,0,,4.0943446,0,2,32,1,.67000002,0,9
4,404,13,0,0,1,0,0,1,0,0,0,,4.6539602,0,1,27,0,.75,1,2
4,405,10,0,1,0,0,1,0,0,0,0,1,5.2983174,1,1,29,1,1,2,10
4,406,,0,0,1,0,1,1,0,0,0,2,4.9052749,1,2,28,1,1,1,10
3,407,17,0,0,0,1,1,0,0,0,0,1,4.0775375,1,1,35,1,1,0,2
13,408,1,0,0,0,1,0,0,0,0,0,0,5.7037826,1,0,28,1,1,0,1
9,409,7,0,0,0,1,1,1,1,0,0,3,4.7874918,1,3,39,0,1,0,1
8,410,7,0,0,1,0,1,1,1,0,0,3,5.2626901,1,3,22,1,1,1,1
8,411,5,0,0,0,1,1,1,1,0,0,3,4.1108737,1,3,37,0,1,0,1
12,412,13,0,1,0,0,1,0,0,0,0,1,4.7874918,1,1,28,1,1,2,1
11,413,1,0,0,0,1,1,1,0,0,0,2,5.8861041,1,2,64,1,1,0,1
7,414,11,0,0,0,1,1,1,1,1,1,5,4.6443911,1,5,24,1,1,0,1
12,415,7,0,0,0,1,0,0,0,0,0,0,4.7874918,1,0,30,1,1,0,1
5,416,7,0,0,0,1,1,0,1,0,0,,4.3694477,0,2,48,1,.82999998,0,1
11,417,2,0,0,0,1,1,0,0,1,0,,4.7874918,0,2,,1,.67000002,0,1
5,418,1,1,0,0,1,1,1,1,1,0,4,4.7449322,1,4,30,1,1,0,1
13,419,7,0,1,0,0,1,0,0,0,0,1,5.1929569,1,1,37,0,1,2,1
9,420,15,0,0,0,1,1,1,0,0,0,2,4.7874918,1,2,30,1,1,0,2
13,421,17,0,0,1,0,1,1,0,0,0,2,4.7874918,1,2,31,1,1,1,2
9,423,13,0,0,0,1,1,1,1,1,1,5,4.0943446,1,5,40,1,1,0,2
8,424,16,1,0,0,1,,,,,,0,5.7838254,,0,27,1,,0,2
12,425,13,0,0,0,1,1,1,1,1,0,4,4.7874918,1,4,37,1,1,0,8
13,426,17,0,0,0,1,1,1,0,0,0,2,5.1929569,1,2,44,1,1,0,2
13,427,16,0,1,0,0,1,1,0,1,1,,5.480639,0,4,32,1,.5,2,8
13,428,7,0,0,0,1,0,1,0,1,1,,4.7874918,0,3,27,1,.17,0,10
13,429,7,0,0,1,0,0,0,0,0,0,0,5.1929569,1,0,36,1,1,1,8
13,430,16,0,0,0,1,1,1,1,0,0,3,5.1239638,1,3,35,0,1,0,2
3,431,7,0,0,1,0,0,0,0,0,0,0,4.6443911,1,0,47,0,1,1,9
11,432,7,0,0,0,1,0,0,0,0,0,0,4.0943446,1,0,36,1,1,0,9
3,433,6,0,0,1,0,0,0,0,0,0,0,4.6728287,1,0,46,0,1,1,9
