"","page","switch","sid","s","hl_1","hl_2","hl_3","hl_4","hl_5","hl_6","hl_7","hl_8","hl_9","hl_10"
"20",21,"9","Mi-2-Id-01",9,1,1,1,1,1,1,1,1,0,0
"21",22,"7","Mi-2-Id-02",7,1,1,1,1,1,1,0,0,0,0
"22",23,"8","Mi-2-Id-03",8,1,1,1,1,1,1,1,0,0,0
"23",24,"7","Mi-2-Id-04",7,1,1,1,1,1,1,0,0,0,0
"202",NA,NA,"Mi-2-Id-05",NA,1,1,1,1,0,1,0,1,1,0
"24",26,"6","Mi-2-Id-06",6,1,1,1,1,1,0,0,0,0,0
"25",27,"4","Mi-2-Id-07",4,1,1,1,0,0,0,0,0,0,0
"26",28,"6","Mi-2-Id-08",6,1,1,1,1,1,0,0,0,0,0
"27",29,"8","Mi-2-Id-09",8,1,1,1,1,1,1,1,0,0,0
"28",30,"8","Mi-2-Id-10",8,1,1,1,1,1,1,1,0,0,0
"29",31,"5","Mi-2-Id-11",5,1,1,1,1,0,0,0,0,0,0
"30",32,"7","Mi-2-Id-12",7,1,1,1,1,1,1,0,0,0,0
"31",33,"7","Mi-2-Id-13",7,1,1,1,1,1,1,0,0,0,0
"32",34,"7","Mi-2-Id-14",7,1,1,1,1,1,1,0,0,0,0
